"ct_subcluster","ext_module","fdr"
"preCG-excitatory-0","Ex0",2.04761019509007e-100
"preCG-excitatory-0","Ex1",0.115407749477019
"preCG-excitatory-0","Ex11",0.000119574870977683
"preCG-excitatory-0","Ex12",1.19256605372599e-07
"preCG-excitatory-0","Ex14",0.000933382946824991
"preCG-excitatory-0","Ex2",6.92491051310923e-58
"preCG-excitatory-0","Ex3",1.61862396185718e-05
"preCG-excitatory-0","Ex4",2.57952415920595e-07
"preCG-excitatory-0","Ex5",0.220214361738508
"preCG-excitatory-0","Ex6",0.275505181491282
"preCG-excitatory-0","Ex7",0.317998608640773
"preCG-excitatory-0","Ex8",0.510628317687592
"preCG-excitatory-0","Ex9",5.76233795659112e-08
"preCG-excitatory-1","Ex0",3.48784084678443e-11
"preCG-excitatory-1","Ex1",1.99224469634485e-07
"preCG-excitatory-1","Ex11",9.14564259584655e-42
"preCG-excitatory-1","Ex12",8.97762993594358e-21
"preCG-excitatory-1","Ex14",9.35768825596546e-08
"preCG-excitatory-1","Ex2",2.20014611007117e-06
"preCG-excitatory-1","Ex3",1.18577512602884e-71
"preCG-excitatory-1","Ex4",1
"preCG-excitatory-1","Ex5",1.90479682006522e-06
"preCG-excitatory-1","Ex6",0.159593976703895
"preCG-excitatory-1","Ex7",0.00489299923472965
"preCG-excitatory-1","Ex8",0.15512556698992
"preCG-excitatory-1","Ex9",2.8875619302347e-15
"preCG-excitatory-14","Ex0",1.5907854272193e-13
"preCG-excitatory-14","Ex1",0.000145166663409182
"preCG-excitatory-14","Ex11",0.000109852176401031
"preCG-excitatory-14","Ex12",1.08407704178067e-07
"preCG-excitatory-14","Ex14",1.00648410822464e-13
"preCG-excitatory-14","Ex2",1.06911335127895e-47
"preCG-excitatory-14","Ex3",0.00127352822219384
"preCG-excitatory-14","Ex4",1.87409006716521e-08
"preCG-excitatory-14","Ex5",2.27817104786736e-12
"preCG-excitatory-14","Ex6",1
"preCG-excitatory-14","Ex7",2.24404157759128e-27
"preCG-excitatory-14","Ex8",0.510628317687592
"preCG-excitatory-14","Ex9",0.0121813018317415
"preCG-excitatory-18","Ex0",5.04307494660722e-10
"preCG-excitatory-18","Ex1",1.67064026661251e-15
"preCG-excitatory-18","Ex11",4.53417031819701e-06
"preCG-excitatory-18","Ex12",1.9949960345838e-35
"preCG-excitatory-18","Ex14",3.48251642467321e-101
"preCG-excitatory-18","Ex2",1.50527219451691e-16
"preCG-excitatory-18","Ex3",1.44789232589386e-06
"preCG-excitatory-18","Ex4",0.602936353756651
"preCG-excitatory-18","Ex5",4.69199518317773e-11
"preCG-excitatory-18","Ex6",0.439294375593834
"preCG-excitatory-18","Ex7",7.01875227338195e-11
"preCG-excitatory-18","Ex8",0.510628317687592
"preCG-excitatory-18","Ex9",3.91074890355147e-25
"preCG-excitatory-3","Ex0",5.72703658574905e-27
"preCG-excitatory-3","Ex1",0.00608394950779296
"preCG-excitatory-3","Ex11",4.53417031819701e-06
"preCG-excitatory-3","Ex12",9.07863511757921e-06
"preCG-excitatory-3","Ex14",1.21140597161485e-13
"preCG-excitatory-3","Ex2",7.11291575035371e-08
"preCG-excitatory-3","Ex3",7.91689036175383e-09
"preCG-excitatory-3","Ex4",3.05312689206929e-05
"preCG-excitatory-3","Ex5",0.220214361738508
"preCG-excitatory-3","Ex6",0.160969631706965
"preCG-excitatory-3","Ex7",0.000846046923972205
"preCG-excitatory-3","Ex8",0.00482756296158385
"preCG-excitatory-3","Ex9",4.44087957848225e-07
"preCG-excitatory-4","Ex0",1
"preCG-excitatory-4","Ex1",8.00622965783428e-45
"preCG-excitatory-4","Ex11",0.0021182821108438
"preCG-excitatory-4","Ex12",2.7342101895148e-26
"preCG-excitatory-4","Ex14",3.17592731692415e-18
"preCG-excitatory-4","Ex2",1.49352426650906e-35
"preCG-excitatory-4","Ex3",1.61862396185718e-05
"preCG-excitatory-4","Ex4",0.602936353756651
"preCG-excitatory-4","Ex5",1.28719884305284e-13
"preCG-excitatory-4","Ex6",0.104851903427625
"preCG-excitatory-4","Ex7",4.76949212411483e-12
"preCG-excitatory-4","Ex8",0.510628317687592
"preCG-excitatory-4","Ex9",3.52012255508779e-15
"preCG-excitatory-5","Ex0",1.5907854272193e-13
"preCG-excitatory-5","Ex1",2.02931126667225e-06
"preCG-excitatory-5","Ex11",2.1885247380551e-05
"preCG-excitatory-5","Ex12",7.36531197762142e-11
"preCG-excitatory-5","Ex14",1.15531630210441e-12
"preCG-excitatory-5","Ex2",1.06911335127895e-47
"preCG-excitatory-5","Ex3",0.000150157578880658
"preCG-excitatory-5","Ex4",0.000257774856755407
"preCG-excitatory-5","Ex5",1.1298683573501e-08
"preCG-excitatory-5","Ex6",1
"preCG-excitatory-5","Ex7",2.37754001132407e-24
"preCG-excitatory-5","Ex8",1
"preCG-excitatory-5","Ex9",4.00859332205525e-07
"preCG-excitatory-6","Ex0",3.48784084678443e-11
"preCG-excitatory-6","Ex1",6.75685815428605e-27
"preCG-excitatory-6","Ex11",0.00198710740364662
"preCG-excitatory-6","Ex12",3.48518004346601e-90
"preCG-excitatory-6","Ex14",1.05056646980563e-28
"preCG-excitatory-6","Ex2",3.48784084678443e-11
"preCG-excitatory-6","Ex3",2.51658672387979e-11
"preCG-excitatory-6","Ex4",0.602936353756651
"preCG-excitatory-6","Ex5",2.04198071887933e-05
"preCG-excitatory-6","Ex6",0.439294375593834
"preCG-excitatory-6","Ex7",0.000111141625126408
"preCG-excitatory-6","Ex8",1
"preCG-excitatory-6","Ex9",1.65651325348502e-84
"preCG-excitatory-7","Ex0",0.681335549158932
"preCG-excitatory-7","Ex1",5.07365457001517e-33
"preCG-excitatory-7","Ex11",0.0021182821108438
"preCG-excitatory-7","Ex12",1.11299753189637e-20
"preCG-excitatory-7","Ex14",1.93166230081693e-19
"preCG-excitatory-7","Ex2",1.49352426650906e-35
"preCG-excitatory-7","Ex3",1.44789232589386e-06
"preCG-excitatory-7","Ex4",1
"preCG-excitatory-7","Ex5",8.75230721286435e-18
"preCG-excitatory-7","Ex6",0.104851903427625
"preCG-excitatory-7","Ex7",1.54349056550304e-14
"preCG-excitatory-7","Ex8",0.510628317687592
"preCG-excitatory-7","Ex9",5.84411799535483e-13
"preCG-excitatory-9","Ex0",3.48696323468473e-98
"preCG-excitatory-9","Ex1",1
"preCG-excitatory-9","Ex11",0.00747219680192886
"preCG-excitatory-9","Ex12",1.10691714186864e-06
"preCG-excitatory-9","Ex14",3.26253164350006e-05
"preCG-excitatory-9","Ex2",4.517418883365e-50
"preCG-excitatory-9","Ex3",7.91689036175383e-09
"preCG-excitatory-9","Ex4",1.42401677411615e-09
"preCG-excitatory-9","Ex5",0.591799219213603
"preCG-excitatory-9","Ex6",0.275505181491282
"preCG-excitatory-9","Ex7",0.105579211873202
"preCG-excitatory-9","Ex8",0.032124969482438
"preCG-excitatory-9","Ex9",5.76233795659112e-08
"insula-excitatory-0","Ex0",6.24113167880904e-09
"insula-excitatory-0","Ex1",1.19473672163967e-10
"insula-excitatory-0","Ex11",4.26908699305489e-113
"insula-excitatory-0","Ex12",1.80890299966344e-15
"insula-excitatory-0","Ex14",3.17592731692415e-18
"insula-excitatory-0","Ex2",2.29242618462801e-06
"insula-excitatory-0","Ex3",5.38569376287782e-47
"insula-excitatory-0","Ex4",0.235985127954747
"insula-excitatory-0","Ex5",2.37265838376404e-16
"insula-excitatory-0","Ex6",0.439294375593834
"insula-excitatory-0","Ex7",1.54349056550304e-14
"insula-excitatory-0","Ex8",0.510628317687592
"insula-excitatory-0","Ex9",3.91074890355147e-25
"insula-excitatory-1","Ex0",6.44638894214979e-16
"insula-excitatory-1","Ex1",8.53813211344899e-12
"insula-excitatory-1","Ex11",4.54795050775878e-24
"insula-excitatory-1","Ex12",1.34989993477582e-38
"insula-excitatory-1","Ex14",1.29193095626684e-08
"insula-excitatory-1","Ex2",1.08979234841441e-14
"insula-excitatory-1","Ex3",1.20832717039946e-84
"insula-excitatory-1","Ex4",0.235985127954747
"insula-excitatory-1","Ex5",2.02931126667225e-06
"insula-excitatory-1","Ex6",0.439294375593834
"insula-excitatory-1","Ex7",1.46008693304294e-07
"insula-excitatory-1","Ex8",0.510628317687592
"insula-excitatory-1","Ex9",1.69196924636905e-22
"insula-excitatory-10","Ex0",6.24113167880904e-09
"insula-excitatory-10","Ex1",2.40024391776043e-22
"insula-excitatory-10","Ex11",3.51017265622154e-10
"insula-excitatory-10","Ex12",4.63027092047952e-126
"insula-excitatory-10","Ex14",2.35419094259838e-31
"insula-excitatory-10","Ex2",6.80793008648353e-13
"insula-excitatory-10","Ex3",1.7500175879293e-32
"insula-excitatory-10","Ex4",1
"insula-excitatory-10","Ex5",1.65157824264026e-07
"insula-excitatory-10","Ex6",0.104851903427625
"insula-excitatory-10","Ex7",0.0260976312742712
"insula-excitatory-10","Ex8",0.510628317687592
"insula-excitatory-10","Ex9",1.03078272524557e-57
"insula-excitatory-13","Ex0",5.56013833667354e-06
"insula-excitatory-13","Ex1",2.97205310879031e-36
"insula-excitatory-13","Ex11",1.96410170896206e-08
"insula-excitatory-13","Ex12",2.73920811521529e-79
"insula-excitatory-13","Ex14",5.13201101500682e-110
"insula-excitatory-13","Ex2",1.78873187370725e-09
"insula-excitatory-13","Ex3",2.82249651754574e-11
"insula-excitatory-13","Ex4",0.235985127954747
"insula-excitatory-13","Ex5",8.37706148564043e-24
"insula-excitatory-13","Ex6",0.104851903427625
"insula-excitatory-13","Ex7",1.54349056550304e-14
"insula-excitatory-13","Ex8",0.510628317687592
"insula-excitatory-13","Ex9",1.36810017028e-68
"insula-excitatory-2","Ex0",4.29497887067941e-114
"insula-excitatory-2","Ex1",0.33677565067505
"insula-excitatory-2","Ex11",0.00747219680192886
"insula-excitatory-2","Ex12",0.00258594150469897
"insula-excitatory-2","Ex14",0.00422707962238323
"insula-excitatory-2","Ex2",1.49352426650906e-35
"insula-excitatory-2","Ex3",0.000157563603416855
"insula-excitatory-2","Ex4",2.62763939861328e-13
"insula-excitatory-2","Ex5",0.591799219213603
"insula-excitatory-2","Ex6",0.00468090327066059
"insula-excitatory-2","Ex7",0.00507444268070617
"insula-excitatory-2","Ex8",0.032124969482438
"insula-excitatory-2","Ex9",0.003169455741658
"insula-excitatory-3","Ex0",1
"insula-excitatory-3","Ex1",3.7289357573346e-18
"insula-excitatory-3","Ex11",2.78464592375403e-09
"insula-excitatory-3","Ex12",1.11299753189637e-20
"insula-excitatory-3","Ex14",5.97070728263675e-30
"insula-excitatory-3","Ex2",1.50527219451691e-16
"insula-excitatory-3","Ex3",7.91689036175383e-09
"insula-excitatory-3","Ex4",1
"insula-excitatory-3","Ex5",7.85569157235347e-77
"insula-excitatory-3","Ex6",0.104851903427625
"insula-excitatory-3","Ex7",3.02017768224022e-24
"insula-excitatory-3","Ex8",0.156322047030412
"insula-excitatory-3","Ex9",5.76233795659112e-08
"insula-excitatory-4","Ex0",0.149184790319544
"insula-excitatory-4","Ex1",4.65111135199717e-111
"insula-excitatory-4","Ex11",1.96410170896206e-08
"insula-excitatory-4","Ex12",5.5276507296679e-37
"insula-excitatory-4","Ex14",3.71531056421543e-37
"insula-excitatory-4","Ex2",1.08979234841441e-14
"insula-excitatory-4","Ex3",1.42110825132062e-12
"insula-excitatory-4","Ex4",0.602936353756651
"insula-excitatory-4","Ex5",8.37706148564043e-24
"insula-excitatory-4","Ex6",0.439294375593834
"insula-excitatory-4","Ex7",1.64128221556572e-18
"insula-excitatory-4","Ex8",0.156322047030412
"insula-excitatory-4","Ex9",7.5798934177205e-28
"insula-excitatory-5","Ex0",1.59103502708224e-91
"insula-excitatory-5","Ex1",0.115407749477019
"insula-excitatory-5","Ex11",0.0243112226392338
"insula-excitatory-5","Ex12",9.07863511757921e-06
"insula-excitatory-5","Ex14",0.000933382946824991
"insula-excitatory-5","Ex2",7.7879749196451e-38
"insula-excitatory-5","Ex3",1.61862396185718e-05
"insula-excitatory-5","Ex4",2.03478625242061e-08
"insula-excitatory-5","Ex5",0.220214361738508
"insula-excitatory-5","Ex6",0.275505181491282
"insula-excitatory-5","Ex7",0.105579211873202
"insula-excitatory-5","Ex8",0.032124969482438
"insula-excitatory-5","Ex9",2.10465710268391e-05
"insula-excitatory-6","Ex0",2.16450446042252e-116
"insula-excitatory-6","Ex1",0.33677565067505
"insula-excitatory-6","Ex11",0.00747219680192886
"insula-excitatory-6","Ex12",0.0522607607368518
"insula-excitatory-6","Ex14",0.000933382946824991
"insula-excitatory-6","Ex2",1.49352426650906e-35
"insula-excitatory-6","Ex3",0.000157563603416855
"insula-excitatory-6","Ex4",2.62763939861328e-13
"insula-excitatory-6","Ex5",0.591799219213603
"insula-excitatory-6","Ex6",0.0147612850783537
"insula-excitatory-6","Ex7",0.00507444268070617
"insula-excitatory-6","Ex8",0.00482756296158385
"insula-excitatory-6","Ex9",0.133039991682741
"insula-excitatory-7","Ex0",0.0435660367553047
"insula-excitatory-7","Ex1",1.67064026661251e-15
"insula-excitatory-7","Ex11",5.15723943409697e-15
"insula-excitatory-7","Ex12",6.6977032703553e-12
"insula-excitatory-7","Ex14",7.69778414458036e-26
"insula-excitatory-7","Ex2",1.81048336656922e-20
"insula-excitatory-7","Ex3",7.91689036175383e-09
"insula-excitatory-7","Ex4",0.235985127954747
"insula-excitatory-7","Ex5",6.30319952419863e-32
"insula-excitatory-7","Ex6",0.104851903427625
"insula-excitatory-7","Ex7",8.52052291490908e-79
"insula-excitatory-7","Ex8",1
"insula-excitatory-7","Ex9",4.44087957848225e-07
"insula-excitatory-8","Ex0",6.36963405261635e-07
"insula-excitatory-8","Ex1",5.07365457001517e-33
"insula-excitatory-8","Ex11",4.33442130637993e-11
"insula-excitatory-8","Ex12",2.73920811521529e-79
"insula-excitatory-8","Ex14",3.29814201439386e-40
"insula-excitatory-8","Ex2",2.29242618462801e-06
"insula-excitatory-8","Ex3",4.00541423042705e-21
"insula-excitatory-8","Ex4",1
"insula-excitatory-8","Ex5",4.69199518317773e-11
"insula-excitatory-8","Ex6",0.104851903427625
"insula-excitatory-8","Ex7",1.29193095626684e-08
"insula-excitatory-8","Ex8",1
"insula-excitatory-8","Ex9",1.12204170743894e-125
"calcarine-excitatory-0","Ex0",1
"calcarine-excitatory-0","Ex1",1.6934695876947e-41
"calcarine-excitatory-0","Ex11",1.14081517209605e-07
"calcarine-excitatory-0","Ex12",1.49876338989045e-23
"calcarine-excitatory-0","Ex14",4.75031747021012e-22
"calcarine-excitatory-0","Ex2",9.65585855043707e-27
"calcarine-excitatory-0","Ex3",1.04960593835085e-07
"calcarine-excitatory-0","Ex4",1
"calcarine-excitatory-0","Ex5",4.26595150323204e-11
"calcarine-excitatory-0","Ex6",0.159593976703895
"calcarine-excitatory-0","Ex7",2.46202042539022e-13
"calcarine-excitatory-0","Ex8",2.14255755178267e-08
"calcarine-excitatory-0","Ex9",6.09525828184363e-11
"calcarine-excitatory-1","Ex0",1.60706119421458e-31
"calcarine-excitatory-1","Ex1",0.115407749477019
"calcarine-excitatory-1","Ex11",0.403723291864228
"calcarine-excitatory-1","Ex12",1.10691714186864e-06
"calcarine-excitatory-1","Ex14",0.000184437719577832
"calcarine-excitatory-1","Ex2",1.49352426650906e-35
"calcarine-excitatory-1","Ex3",0.00132315585945127
"calcarine-excitatory-1","Ex4",0.000271373895057231
"calcarine-excitatory-1","Ex5",0.220214361738508
"calcarine-excitatory-1","Ex6",0.812569609941273
"calcarine-excitatory-1","Ex7",0.317998608640773
"calcarine-excitatory-1","Ex8",5.74128024728757e-05
"calcarine-excitatory-1","Ex9",5.76233795659112e-08
"calcarine-excitatory-10","Ex0",0.0214683552231951
"calcarine-excitatory-10","Ex1",8.38869893431962e-16
"calcarine-excitatory-10","Ex11",0.529296675969508
"calcarine-excitatory-10","Ex12",1.39150477454841e-07
"calcarine-excitatory-10","Ex14",1.67064026661251e-15
"calcarine-excitatory-10","Ex2",1.35877320802511e-30
"calcarine-excitatory-10","Ex3",0.00429359902572573
"calcarine-excitatory-10","Ex4",0.533572403152412
"calcarine-excitatory-10","Ex5",3.45092678922179e-12
"calcarine-excitatory-10","Ex6",0.780834046914897
"calcarine-excitatory-10","Ex7",5.58388308718006e-22
"calcarine-excitatory-10","Ex8",0.111564554034587
"calcarine-excitatory-10","Ex9",0.00457432055714782
"calcarine-excitatory-12","Ex0",4.43810436569085e-05
"calcarine-excitatory-12","Ex1",2.18638127304891e-06
"calcarine-excitatory-12","Ex11",7.51242541383281e-54
"calcarine-excitatory-12","Ex12",6.6977032703553e-12
"calcarine-excitatory-12","Ex14",1.52406655987453e-11
"calcarine-excitatory-12","Ex2",6.80793008648353e-13
"calcarine-excitatory-12","Ex3",4.87638720345055e-10
"calcarine-excitatory-12","Ex4",0.602936353756651
"calcarine-excitatory-12","Ex5",2.02931126667225e-06
"calcarine-excitatory-12","Ex6",1.63721261913794e-05
"calcarine-excitatory-12","Ex7",0.000846046923972205
"calcarine-excitatory-12","Ex8",6.79418647724485e-11
"calcarine-excitatory-12","Ex9",6.73613950371388e-12
"calcarine-excitatory-13","Ex0",2.12276769617784e-06
"calcarine-excitatory-13","Ex1",0.000198545665521719
"calcarine-excitatory-13","Ex11",0.01038525063585
"calcarine-excitatory-13","Ex12",0.000450899933192674
"calcarine-excitatory-13","Ex14",0.258867973775921
"calcarine-excitatory-13","Ex2",4.0538892073756e-30
"calcarine-excitatory-13","Ex3",0.339921183923547
"calcarine-excitatory-13","Ex4",0.0727944332859799
"calcarine-excitatory-13","Ex5",1.23770734926865e-07
"calcarine-excitatory-13","Ex6",0.690975896567565
"calcarine-excitatory-13","Ex7",7.08415122119821e-11
"calcarine-excitatory-13","Ex8",0.293201697913267
"calcarine-excitatory-13","Ex9",0.607495914391904
"calcarine-excitatory-14","Ex0",0.00937200963890163
"calcarine-excitatory-14","Ex1",0.000145166663409182
