GENE,CELLTYPE,BRACKET
CBLN2,EXCITATORY,UL
CUX2,EXCITATORY,UL
LINC00507,EXCITATORY,UL
RASGFR2,EXCITATORY,UL
EPHA6,EXCITATORY,UL_DA
GRIA4,EXCITATORY,UL_DA
DGKB,EXCITATORY,UL_DA
GPC6,EXCITATORY,UL_DA
TSHZ2,EXCITATORY,ML
FOXP2,EXCITATORY,ML
PCP4,EXCITATORY,ML
IL1RAPL2,EXCITATORY,ML
RORB,EXCITATORY,ML
UNC5D,EXCITATORY,ML_DA
CTNNA2,EXCITATORY,ML_DA
NKAIN2,EXCITATORY,ML_DA
TLE4,EXCITATORY,LL
HTR2C,EXCITATORY,LL
SEMA3E,EXCITATORY,LL
LRP1B,EXCITATORY,LL_DA
HS3ST4,EXCITATORY,LL_DA
ASLC2,EXCITATORY,LL_DA
KIAA1217,EXCITATORY,LL_DA
ROBO2,EXCITATORY,LL_DA
MDGA2,EXCITATORY,LL_DA
GRM7,EXCITATORY,LL_DA
GRM8,EXCITATORY,LL_DA