gene,celltype,bracket
RBFOX1,oligodendrocyte,newly_formed
CNTNAP2,oligodendrocyte,newly_formed
ST6GALNAC3,oligodendrocyte,newly_formed
QKI,oligodendrocyte,newly_formed
BPTF,oligodendrocyte,newly_formed
BCAS1,oligodendrocyte,early_myelinating
K1AA0930,oligodendrocyte,early_myelinating
CASTOR,oligodendrocyte,early_myelinating_DA
SLC26A3,oligodendrocyte,mature
RASGEF1B,oligodendrocyte,mature
PLP1,oligodendrocyte,mature
OPALIN,oligodendrocyte,mature
FTH1PB,oligodendrocyte,mature
FNBP1,oligodendrocyte,mature_da
ERRB4,oligodendrocyte,mature
ANO4,oligodendrocyte,mature
SCD5,oligodendrocyte,mature_da2
SIK3,oligodendrocyte,mature_da2
KANK1,oligodendrocyte,mature_da2
CLMN,oligodendrocyte,mature_da2
TRIM2,oligodendrocyte,mature_da2
PLA2G16,oligodendrocyte,mature_da3
CADM2,oligodendrocyte,mature_da3
QDPR,oligodendrocyte,mature_da3
NCKAP5,oligodendrocyte,mature_da3
CLDND1,oligodendrocyte,mature_da3
CRYAB,oligodendrocyte,mature_da3
LINGO1,oligodendrocyte,mature_da3
GPX4,oligodendrocyte,immature_dp
GPMBA,oligodendrocyte,immature_dp
,,
,,
,,