"","AD_microglia","bvFTD_microglia","Control_microglia","PSP-S_microglia","AD_microglia_rank","bvFTD_microglia_rank","Control_microglia_rank","PSP-S_microglia_rank"
"JUND (76g)",0.385429628668346,0.306690961829496,0.32877234108267,0.359940275087844,37,85,89,57
"ZNF91 (11g)",0.355651598998582,0.304757625359897,0.332996886430096,0.348454180558386,73,87,87,71
"MEF2D (19g)",0.35041512764821,0.28416730755441,0.346985998032187,0.333128721645947,80,98,78,82
"ZNF770 (68g)",0.381493931222755,0.32424098194099,0.322389736682726,0.357419525112449,45,68,90,58
"PRNP (44g)",0.368829518577801,0.310823067463968,0.292698170807856,0.345886059009894,62,79,110,73
"ZBTB7A_extended (127g)",0.379898282459621,0.321549729525334,0.356365664485625,0.362249437453221,49,71,68,53
"SMARCC2_extended (16g)",0.274361556745699,0.254488758889707,0.28222256674939,0.2728749927457,121,116,111,119
"ASH2L (28g)",0.330446204734407,0.318481877025611,0.330487640784886,0.349714645101275,94,74,88,68
"SOX5_extended (45g)",0.329329051432794,0.33176201137357,0.359106703705052,0.367583897139871,95,53,62,44
"ZEB1 (17g)",0.328743169587029,0.329319146481405,0.367194087618355,0.369946983644914,96,59,59,40
"RFX3 (33g)",0.291815495686041,0.289009001400231,0.305150817767784,0.324079350175767,109,96,101,94
"NFE2L1_extended (11g)",0.273102159736404,0.267777576396265,0.262544439364434,0.284615709064959,123,106,123,114
"ESRRA (49g)",0.340305717539492,0.299372942538152,0.316801665942604,0.329833582722121,89,91,95,86
"RORB_extended (19g)",0.267697581214687,0.248687815559086,0.277349499850656,0.2965426109926,126,122,114,106
"ARNT (12g)",0.265688257829924,0.22702983229556,0.24593273772612,0.242506793216156,128,132,129,131
"NR2C1 (17g)",0.267787980400058,0.245187460326926,0.270159884566811,0.296542814708466,125,124,121,105
"ATF2 (17g)",0.289154426008368,0.259385665001387,0.27638244821891,0.29812460579919,110,111,115,104
"STAT1 (139g)",0.379677699192564,0.334330236220426,0.388556188212274,0.370414695547524,50,48,23,38
"POU2F2 (29g)",0.357113707020312,0.320480342949488,0.369071103146363,0.341341217081573,71,72,57,76
"TCF7L2 (18g)",0.348766432032608,0.304002165516929,0.335481110756898,0.319581367717743,81,89,85,99
"TAL1 (13g)",0.338849047251944,0.314740968400614,0.345746606381229,0.329190852581214,91,77,80,87
"SUPT20H_extended (94g)",0.377788653534575,0.344561561771592,0.355662731463706,0.362110189375567,52,35,70,54
"CEBPB (10g)",0.306693672857927,0.269653477500862,0.316707908459337,0.286754018184532,104,105,96,111
"CREB1_extended (72g)",0.388395609444366,0.328749652326448,0.360544016903275,0.351238588960354,34,61,61,64
"NFKB1 (98g)",0.380253128816975,0.328242531086162,0.399085210548361,0.350763755841723,48,64,2,67
"JDP2_extended (27g)",0.362073140565666,0.294439240827262,0.397301264773082,0.325102478017679,68,94,4,92
"JUNB (34g)",0.395880031123292,0.328549298238798,0.382307965401624,0.351784999117247,20,63,43,63
"FOS (37g)",0.394730606201525,0.294443464397909,0.315420466519137,0.343105631128012,27,93,97,75
"REL (26g)",0.33648935248593,0.265110541796006,0.388499403108729,0.299416600923892,92,108,25,102
"HIF1A (209g)",0.389545281380559,0.338864744092647,0.396235069638359,0.371352179725894,32,44,5,34
"PRDM1_extended (132g)",0.385879703085715,0.336996806864455,0.395087014343703,0.370292723152584,36,45,7,39
"CREM (154g)",0.386309086626425,0.306970694158519,0.405576663044638,0.345265974531353,35,84,1,74
"XBP1 (144g)",0.399049063232037,0.341731043905805,0.390061281955155,0.373956819918035,10,40,18,31
"RREB1_extended (26g)",0.359623189223435,0.318717655079265,0.358967305454556,0.330431872741997,70,73,63,85
"CUX1_extended (401g)",0.395781378603425,0.343680050005098,0.392680211539295,0.383892306492635,21,36,11,21
"MXD1_extended (17g)",0.340029793461919,0.291383878510962,0.353071354351265,0.296180689683344,90,95,74,108
"ATF6B (13g)",0.262733735916449,0.237647518506579,0.256698477725243,0.243582951043285,130,130,125,130
"BPTF (83g)",0.400328825554788,0.322932577653056,0.367128778687461,0.360724187231178,5,70,60,56
"CEBPZ_extended (39g)",0.3528168679551,0.31030961382208,0.316957185305231,0.327078284824455,78,81,94,90
"FOXK2_extended (25g)",0.341103062628188,0.30492935223888,0.353538882921657,0.337374834599565,86,86,73,80
"EP300 (39g)",0.362347959948319,0.33335328307457,0.350895582038981,0.365320969703891,66,50,75,50
"GABPB1_extended (40g)",0.347631053982816,0.304472309607683,0.333042633426028,0.328278752860237,82,88,86,88
"KLF3_extended (60g)",0.354507055079627,0.312880874547172,0.358966772960424,0.318425797986187,74,78,64,101
"FOXK1_extended (31g)",0.365753383491096,0.330321673620033,0.358369728045351,0.356402043360698,64,57,65,60
"BCLAF1 (14g)",0.286430082508588,0.256744216122354,0.274891459219911,0.268980456921806,113,113,116,122
"MAX (42g)",0.340620146042188,0.299920122595425,0.336590264980282,0.330673850445804,87,90,83,84
"GTF2B (11g)",0.30707295092593,0.296570320008261,0.313541633438703,0.33839784541942,103,92,98,79
"FOXP1 (12g)",0.3535070438091,0.279190968592549,0.304788905523589,0.324908078993854,76,103,102,93
"NR3C2 (16g)",0.288867552793341,0.258686108633957,0.27875132096614,0.282548887011137,111,112,112,116
"BDP1_extended (16g)",0.264903734388153,0.243110326034156,0.250148130851249,0.259016638916933,129,126,127,127
"SP4 (11g)",0.256057850599114,0.241230247539098,0.25759124081518,0.25903838087042,132,128,124,126
"SREBF1 (28g)",0.330682989831275,0.261421881547385,0.274107421555006,0.292635964490792,93,110,117,109
"ATF4_extended (16g)",0.267967895689912,0.256076052164899,0.230065408568438,0.267722109222806,124,114,132,123
"PPARA_extended (11g)",0.260624636704759,0.229126141174429,0.240828519887724,0.241747090580353,131,131,131,132
"PHF8 (18g)",0.280789353169846,0.242593084334648,0.244578592236135,0.25125032107744,117,127,130,128
"MAFB_extended (15g)",0.304926383730649,0.275568229317587,0.271364315521398,0.296334910631686,105,104,120,107
"PKNOX1_extended (20g)",0.300765863530216,0.267477514886574,0.299774481962593,0.285096403482925,106,107,103,112
"KLF6_extended (17g)",0.284536325669113,0.244232828677724,0.299540892697775,0.270114012396292,114,125,104,121
"ELK4 (80g)",0.370545805796675,0.310726086914615,0.347080574747341,0.348789435458966,61,80,77,70
"NFATC3 (12g)",0.297423202654974,0.238056362265522,0.277543484231822,0.270194818899927,107,129,113,120
"ELF2 (12g)",0.283475274653445,0.249015746388097,0.299452701252285,0.277528440775776,115,121,105,117
"STAT5B_extended (11g)",0.273232169099718,0.245248101927779,0.263609712415706,0.284767346491072,122,123,122,113
"SMARCA5 (14g)",0.266143359005553,0.249053633605538,0.271915223206857,0.266247774921067,127,120,119,124
"ESRRG_extended (17g)",0.283110935266776,0.255820944106684,0.299404811108815,0.282728995631684,116,115,106,115
"SMARCA4 (14g)",0.27450374527312,0.249502288590234,0.272456958315714,0.260050828216211,120,119,118,125
"MITF_extended (24g)",0.366663492230411,0.318384537635651,0.309464441466303,0.321326301445449,63,75,99,96
"CREB3L2 (11g)",0.316288926004031,0.263845792170145,0.293220986008953,0.288095133571456,99,109,109,110
"NR2C2_extended (61g)",0.376069891341131,0.329131124627809,0.335938072287932,0.347989122187317,54,60,84,72
"SUZ12 (19g)",0.275370860946744,0.253223532904698,0.251460787017631,0.275331144147828,119,117,126,118
"PBX3_extended (10g)",0.2771298715622,0.250557323435228,0.248389884543992,0.25062062407162,118,118,128,129
"TFEB_extended (515g)",0.401654234868149,0.347946984290179,0.387957711569036,0.384506207855629,3,27,28,20
"IRF7 (23g)",0.353994760479178,0.324301067582154,0.382642565154925,0.330851044838357,75,67,42,83
"ELF1 (80g)",0.381094187037344,0.340793646089644,0.384456436738323,0.360764338470639,47,41,37,55
"FOXP2 (11g)",0.309269288508966,0.330658057400461,0.354197367532322,0.339181311912337,101,55,71,78
"ATF6_extended (142g)",0.38452843283568,0.349891022461359,0.397773557565392,0.368038392739822,38,15,3,43
"ZNF562 (14g)",0.288863758795393,0.279297406070117,0.29639048918818,0.298654949274418,112,102,108,103
"TFEC_extended (40g)",0.381369526776679,0.350582582564321,0.358320505365938,0.370945115139161,46,11,66,36
"BHLHE41 (21g)",0.350745446441799,0.330054210993749,0.36983437999737,0.3511813857176,79,58,56,65
"IRF2 (31g)",0.360483580753487,0.330620884405871,0.373695989443487,0.34019588735827,69,56,53,77
"STAT6 (22g)",0.345050916890613,0.328708169782751,0.346534106463933,0.325486698550198,85,62,79,91
"POU2F1 (16g)",0.320959936135241,0.30980145984903,0.337714374991445,0.348868348083227,97,82,81,69
"FOXO3_extended (14g)",0.362078476981736,0.333470991976918,0.386507374967899,0.370525941187242,67,49,33,37
"BCL6_extended (101g)",0.392729395786103,0.353741218459806,0.383073195307152,0.366112005901402,30,3,41,46
"STAT3 (43g)",0.378546841411636,0.346644658998331,0.388875196690472,0.363770126571081,51,30,22,52
"NFATC2_extended (27g)",0.356813436651475,0.33290903792029,0.377629172491251,0.355796022103644,72,51,49,61
"RUNX2 (46g)",0.352861745317452,0.339576696019238,0.384888929981514,0.356486610130304,77,42,35,59
"BACH1 (34g)",0.364924965361887,0.346729461284791,0.384670600444189,0.351117285299462,65,29,36,66
"IRF8_extended (167g)",0.383380832067016,0.356289551448299,0.375170579243178,0.380531157723595,40,1,52,24
"IKZF1 (140g)",0.374360367480922,0.349012597113374,0.385075681804737,0.37649606949967,59,21,34,29
"RUNX1_extended (316g)",0.381727606401804,0.356254073419561,0.388199214147658,0.374104792754107,44,2,26,30
"ETV6 (334g)",0.383862390502328,0.349893267253896,0.395472278434578,0.371068230522127,39,14,6,35
"ETS2_extended (25g)",0.345192261812984,0.323022631716759,0.356496860856025,0.327669193326703,84,69,67,89
"ARID3A_extended (22g)",0.371446042050003,0.332216413038266,0.373061458693081,0.369509349806899,60,52,55,41
"SPI1 (205g)",0.399625832516678,0.348659086130635,0.379999980206711,0.37695616895222,7,24,47,28
"ELK3_extended (52g)",0.382640630263962,0.343493989940376,0.373457393028161,0.379859817633745,43,37,54,26
"ETV5_extended (80g)",0.375522653803363,0.345180661160484,0.355982554414657,0.378786382096726,55,34,69,27
"FOXN3 (16g)",0.34716151028755,0.34812448162664,0.387840994801138,0.368521203718343,83,26,29,42
"FLI1 (220g)",0.382787691374524,0.349175032576891,0.382258251507081,0.382255839031014,42,19,44,22
"CTCF (16g)",0.308150493089539,0.283129136306734,0.317711929320869,0.319503049765752,102,99,93,100
"PBX1 (17g)",0.293238466477047,0.280225395648379,0.320963906857315,0.319734133930199,108,101,91,98
"TRIM28_extended (629g)",0.398031441765451,0.345658954356723,0.383144787042852,0.390030395760116,13,33,40,5
"CEBPD_extended (554g)",0.394869657416948,0.346588243242434,0.391015208737063,0.387411407428777,25,32,15,16
"TAF7 (188g)",0.3940036152991,0.350383567460547,0.377675288346489,0.386015682204648,29,12,48,18
"YY1 (952g)",0.396319152379727,0.351973267668751,0.386902370759033,0.390825190281092,19,5,32,1
"HDAC2 (1613g)",0.397639362256923,0.351144032783627,0.390160907193037,0.388964861679179,14,8,17,9
"RAD21_extended (1834g)",0.395632815768208,0.351590306590411,0.389311104258772,0.390545176470392,24,6,20,2
"MXI1_extended (3223g)",0.399675734513658,0.348932727772766,0.39070517907615,0.38869190009926,6,22,16,13
"SREBF2 (71g)",0.37448495909953,0.324920525405055,0.350222605172156,0.366073944930214,58,66,76,47
"TAF1 (1220g)",0.397296272282535,0.351993057346628,0.388113868993623,0.39053335674634,16,4,27,3
"ZMIZ1_extended (2219g)",0.3973053366765,0.348909585906026,0.39363051805842,0.38828000320031,15,23,9,15
"KDM5A_extended (2003g)",0.394867138742018,0.350202824609092,0.39349753944494,0.388823969528373,26,13,10,12
"BRF1_extended (1380g)",0.396444053090635,0.346621744307296,0.389120519787709,0.388828363622467,18,31,21,11
"POLR2A (1683g)",0.398092796784531,0.34941909747257,0.391896571264091,0.388880587826683,12,18,13,10
"SP3_extended (1195g)",0.396850914503882,0.349615135184884,0.39163209051388,0.389450362998238,17,16,14,8
"XRCC4_extended (1254g)",0.394256086363446,0.350931120943555,0.394105555106716,0.387005030126344,28,10,8,17
"USF2_extended (854g)",0.40243326262549,0.348405641304751,0.387235463979926,0.385957825003691,2,25,30,19
"NR3C1_extended (2252g)",0.400703723951473,0.350978695502908,0.388525199297488,0.389651532870307,4,9,24,7
"CHD2 (1490g)",0.39955925308347,0.349014120001508,0.389654846597756,0.389870302247438,9,20,19,6
"KDM5B_extended (1722g)",0.399564045207038,0.351550850603072,0.387025429222869,0.390422314543685,8,7,31,4
"SIN3A_extended (847g)",0.395691623903182,0.349518559298091,0.392674860297205,0.388577424696822,22,17,12,14
"SFT2D1 (12g)",0.34057020194299,0.285233886708425,0.296704653809476,0.335588970698918,88,97,107,81
"NRF1_extended (277g)",0.398679757489538,0.341806947737039,0.384270995189114,0.380267043043976,11,39,38,25
"NR6A1_extended (152g)",0.392599604447123,0.336431300277557,0.377403154566234,0.372274811434935,31,46,50,33
"BACH2_extended (170g)",0.377598470727812,0.331531455554558,0.384071145167575,0.365820849395464,53,54,39,48
"CREB5_extended (112g)",0.375491489044935,0.339184467945107,0.38221610843804,0.365572247244759,56,43,45,49
"CLOCK_extended (197g)",0.38873446181341,0.342005119539047,0.375966960111928,0.380851620099986,33,38,51,23
"FOXN2_extended (285g)",0.382791079981764,0.327802197277862,0.367648995660063,0.366144500748338,41,65,58,45
"ZNF76_extended (31g)",0.318907276921017,0.281424143654274,0.319122088982621,0.320089653578121,98,100,92,97
"MEIS2 (18g)",0.313091491576133,0.309523433074167,0.307278579264881,0.322069621498833,100,83,100,95
"FOXO1 (54g)",0.374963969334776,0.316153048114327,0.337515247305975,0.354936804702359,57,76,82,62
"STAT2 (72g)",0.395635046944246,0.335497820969255,0.38147422093967,0.364982293940371,23,47,46,51
"JUN (33g)",0.403847933759489,0.346981898341026,0.35365693001606,0.373675179866911,1,28,72,32
